Label,GeoNames ID,Bounding Box,Geometry,GEOID,STUSPS
Alabama,http://sws.geonames.org/4829764,"-88.47,30.22,-84.89,35.01","MultiPolygon(((-85.1 31.8, -85 31, -87.6 31, -87.4 30.4, -87.5 30.2, -88.4 30.2, -88.5 31.9, -88.1 34.9, -88.2 35, -85.6 35, -85.2 32.9, -84.9 32.3, -85.1 32.1, -85.1 31.8)))",01,AL
Alaska,http://sws.geonames.org/5879092,"-179.15,51.21,179.78,71.37","MultiPolygon(((-179.3 51.1, -129.9 51.1, -129.9 71.5, -179.3 71.5, -179.3 51.1)),((172.3 51.2, 179.9 51.2, 179.9 53.1, 172.3 53.1, 172.3 51.2)))",02,AK
Arizona,http://sws.geonames.org/5551752,"-114.82,31.33,-109.05,37.00","MultiPolygon(((-110.8 37, -109 37, -109.1 31.3, -111.1 31.3, -114.8 32.5, -114.5 32.8, -114.7 33.3, -114.5 33.6, -114.5 33.9, -114.1 34.3, -114.6 34.9, -114.8 36.1, -114.1 36, -114.1 37, -110.8 37)))",04,AZ
Arkansas,http://sws.geonames.org/4099753,"-94.62,33.00,-89.64,36.50","MultiPolygon(((-91 34.1, -90.9 34, -91.1 34, -91 33.8, -91.1 33.8, -91 33.7, -91.2 33.7, -91.1 33.6, -91.2 33.4, -91.1 33.4, -91.2 33, -94 33, -94 33.6, -94.5 33.6, -94.4 35.4, -94.6 36.5, -90.2 36.5, -90.1 36.3, -90.4 36, -89.7 36, -89.6 35.9, -90 35.7, -89.9 35.5, -90 35.6, -90 35.4, -90.1 35.5, -90.2 35.4, -90.1 35.1, -90.3 35, -90.3 34.8, -90.5 34.9, -90.6 34.4, -91 34.1)))",05,AR
California,http://sws.geonames.org/5332921,"-124.41,32.53,-114.13,42.01","MultiPolygon(((-120 41.2, -120 39, -114.6 35, -114.4 34.5, -114.1 34.3, -114.4 34.1, -114.5 33.6, -114.7 33.4, -114.7 33.1, -114.5 33, -114.5 32.8, -117.2 32.5, -117.5 33.2, -118.1 33.7, -118.5 33.7, -118.6 34, -119.2 34, -119.6 34.4, -120.7 34.5, -120.7 35.1, -122 36.3, -122.1 36.9, -122.5 37.2, -122.6 37.8, -123.1 38, -123.2 38.4, -123.8 38.9, -123.9 39.8, -124.5 40.4, -124.1 41.4, -124.4 41.8, -124.3 41.9, -124.3 42, -120 42, -120 41.2)),((-123.2 37.8, -123.1 37.8, -122.9 37.7, -123 37.7, -123.2 37.8)),((-119.5 34, -120.1 33.8, -120.6 34.1, -119.3 34, -119.5 34)),((-119.1 33.5, -119 33.5, -119 33.5, -119.1 33.4, -119.1 33.5)),((-119.6 33.3, -119.5 33.3, -119.4 33.2, -119.5 33.2, -119.6 33.3)),((-118.7 33, -118.5 33.1, -118.3 32.8, -118.5 32.8, -118.7 33)),((-118.7 33.5, -118.4 33.5, -118.2 33.3, -118.5 33.3, -118.7 33.5)))",06,CA
Colorado,http://sws.geonames.org/5417618,"-109.06,36.99,-102.04,41.00","MultiPolygon(((-105.2 37, -109 37, -109.1 41, -102.1 41, -102 37, -105.2 37)))",08,CO
Connecticut,http://sws.geonames.org/4831725,"-73.73,40.98,-71.79,42.05","MultiPolygon(((-72.5 41.2, -73.7 41, -73.7 41.1, -73.5 41.2, -73.5 42, -71.8 42, -71.8 41.3, -72.5 41.2)))",09,CT
Delaware,http://sws.geonames.org/4142224,"-75.79,38.45,-75.05,39.84","MultiPolygon(((-75.5 39.7, -75.6 39.5, -75 38.8, -75 38.5, -75.7 38.5, -75.8 39.7, -75.4 39.8, -75.5 39.7)))",10,DE
District of Columbia,http://sws.geonames.org/4138106,"-77.12,38.79,-76.91,39.00","MultiPolygon(((-77.1 38.9, -77 39, -76.9 38.9, -77 38.8, -77.1 38.9)))",11,DC
Florida,http://sws.geonames.org/4155751,"-87.63,24.52,-80.03,31.00","MultiPolygon(((-83.1 24.6, -82.9 24.8, -82.6 24.7, -83 24.5, -83.1 24.6)),((-80.2 25.3, -80.5 25, -81.1 24.6, -81.9 24.4, -82.3 24.6, -82.2 24.7, -81.2 25, -81.4 25.6, -81.9 25.8, -82 26.3, -82.3 26.4, -82.9 27.5, -83 27.9, -82.8 28.6, -82.9 29, -83.2 29, -83.8 29.8, -84.1 29.9, -85.1 29.4, -85.4 29.5, -85.7 29.9, -86.3 30.2, -87.5 30.1, -87.4 30.4, -87.6 31, -85 31, -84.9 30.7, -82.2 30.6, -82.2 30.4, -82 30.4, -81.9 30.8, -81.3 30.7, -81.2 29.8, -80.5 28.6, -80.5 28.1, -80 26.8, -80.2 25.3)))",12,FL
