name,order,type,field_uri,description,example,definition,separator,constraints
ID,1,string,geomg_id_s,Unique identifier for the resource record.,,https://opengeometadata.org/ogm-aardvark/#id,,{'required': True}
Title,2,string,dct_title_s,"To provide the user with the name of the resource. The title is the most prominent metadata field that users see when browsing or scanning search results. Titles should include place names and dates when available. The ideal sequence is 'Topic of Layer: Place, Year.'","Address Points: Ann Arbor, Michigan, 2010",https://opengeometadata.org/ogm-aardvark/#title,,
Alternative Title,3,string,dct_alternative_sm,To provide the user with another title if needed. This could be for a secondary or original title or subtitle.,,https://opengeometadata.org/ogm-aardvark/#alternative-title,|,
Description,4,string,dct_description_sm,"To provide the user with a summary of the resource. At a minimum, this is a reiteration of the title in sentence format. Other relevant information, such as data creation methods, data sources, and special licenses, may also be included. This field is the second-most prominent value that users see when searching or browsing for items.",This polygon shapefile represents boundaries of election districts in New York City. It was harvested from the NYC Open Data Portal.,https://opengeometadata.org/ogm-aardvark/#description,|,
Language,5,string,dct_language_sm,"The language of the resource content. Use ISO 639-2 language codes (e.g., 'eng' for English, 'spa' for Spanish).",,https://opengeometadata.org/ogm-aardvark/#language,|,
Display Note,6,string,gbl_displayNote_sm,"To highlight additional information about a resource, such as warnings or tips for using the data. Prefix the string with 'Danger:', 'Info:', 'Tip:', or 'Warning:' to specify the type of note. Text in this field is prominently displayed in a shaded box just after the title.",Info: This is an archived copy of the data held at UW-Madison.,https://opengeometadata.org/ogm-aardvark/#display-note,|,
B1G Language,7,string,b1g_language_sm,Big Ten Academic Alliance specific language field.,,https://gin.btaa.org/metadata/b1g-custom-elements/#language-string,,
Creator,8,string,dct_creator_sm,The person or organization responsible for creating the resource content.,,https://opengeometadata.org/ogm-aardvark/#creator,|,
Creator ID,9,string,b1g_creatorID_sm,Unique identifier for the creator.,,https://gin.btaa.org/metadata/b1g-custom-elements/#creator-id,,
Publisher,10,string,dct_publisher_sm,The person or organization responsible for making the resource available.,,https://opengeometadata.org/ogm-aardvark/#publisher,|,
Provider,11,string,schema_provider_s,"To clarify which organization holds the resource or acts as the custodian for the metadata record. This field can be any string value. However, if the value corresponds to the name of an SVG icon in GeoBlacklight, the icon will display next to the title.",,https://opengeometadata.org/ogm-aardvark/#provider,,
Resource Class,12,string,gbl_resourceClass_sm,"High-level classification of the resource type. Controlled vocabulary with values: Collections, Datasets, Imagery, Maps, Web services, Websites, Other.",,https://opengeometadata.org/ogm-aardvark/#resource-class,|,'^(Collections|Datasets|Imagery|Maps|Other|Series|Web services|Websites)(\\|(Collections|Datasets|Imagery|Maps|Other|Series|Web services|Websites))*$'
Resource Type,13,string,gbl_resourceType_sm,Specific type of the resource. Can include Library of Congress Cartographic Genres (for scanned maps) or OpenGeoMetadata community terms (for geospatial data).,,https://opengeometadata.org/ogm-aardvark/#resource-type,|,
Subject,14,string,dct_subject_sm,Topic or subject matter of the resource.,,https://opengeometadata.org/ogm-aardvark/#subject,|,
Theme,15,string,dcat_theme_sm,"High-level thematic category of the resource. Can include values like 'Agriculture', 'Boundaries', 'Climate', 'Economy', 'Environment', 'Health', 'Imagery', 'Inland Waters', 'Location', 'Oceans', 'Society', 'Transportation', 'Utilities'.",,https://opengeometadata.org/ogm-aardvark/#theme,|,
Keyword,16,string,dcat_keyword_sm,Keywords or tags that describe the resource content.,,https://opengeometadata.org/ogm-aardvark/#keyword,|,
Local Collection,17,string,b1g_localCollectionLabel_sm,Local collection or repository information.,,,,
Temporal Coverage,18,string,dct_temporal_sm,Time period covered by the resource content.,,https://opengeometadata.org/ogm-aardvark/#temporal-coverage,|,
Date Issued,19,string,dct_issued_s,Date when the resource was published or made available.,,https://opengeometadata.org/ogm-aardvark/#date-issued,,
Index Year,20,integer,gbl_indexYear_im,Year used for indexing and temporal filtering of the resource.,,https://opengeometadata.org/ogm-aardvark/#index-year,|,
Date Range,21,string,gbl_dateRange_drsim,Range of dates covered by the resource content.,,https://opengeometadata.org/ogm-aardvark/#date-range,,
Spatial Coverage,22,string,dct_spatial_sm,Geographic area covered by the resource content.,,https://opengeometadata.org/ogm-aardvark/#spatial-coverage,|,
Bounding Box,23,string,dcat_bbox,"Geographic bounding box coordinates in the format 'minX, minY, maxX, maxY'.",,https://opengeometadata.org/ogm-aardvark/#bounding-box,,
Geometry,24,string,locn_geometry,Geometric representation of the resource extent in WKT (Well-Known Text) format.,,https://opengeometadata.org/ogm-aardvark/#geometry,,
Centroid,25,string,dcat_centroid,"Center point coordinates of the resource extent in the format 'latitude,longitude'.",,https://opengeometadata.org/ogm-aardvark/#centroid,,
GeoNames,26,string,b1g_geonames_sm,GeoNames identifiers associated with the resource.,,https://gin.btaa.org/metadata/b1g-custom-elements/#geonames,,
Conforms to,27,string,b1g_dct_conformsTo_sm,Standards or specifications that the resource conforms to.,,https://gin.btaa.org/metadata/b1g-custom-elements/#conforms-to,,
Spatial Resolution in Meters,28,string,b1g_dcat_spatialResolutionInMeters_sm,Spatial resolution of the resource in meters.,,https://opengeometadata.org/ogm-aardvark/#spatial-resolution,,
